abbo
ABC
ABCD
abo
af
African catfish
Africoon
Afro-Saxon
albino
alligator bait
Americoon
Amo
anchor baby
Angie
Anglo
Ann
ape
apple
Argie
Armo
Aunt Jane
Aunt Jemima
Aunt Mary
Aunt Sally
azn
bamboo coon
banana
banana bender
banana lander
banjo lips
bans and cans
beach nigger
bean dipper
beaner
beaner shnitzel
beaney
Bengali
bhrempti
bint
bird
bitch
bitter clinger
bix nood
black Barbie
black dago
blaxican
blockhead
bludger
bluegum
bog hopper
Bog Irish
bog jumper
bog trotter
bogan
bong
boo
boojie
book book
boon
booner
boong
boonga
boonie
border bunny
border hopper
border jumper
border nigger
Bounty bar
boxhead
brass ankle
brownie
bubble
buck
buckethead
buckra
Buckwheat
Buddhahead
buffie
bug eater
buk buk
bumblebee
bung
bunga
burrhead
butterhead
cab nigger
camel cowboy
camel fucker
camel humper
camel jacker
camel jockey
can eater
carpet pilot
carrot snapper
Caublasian
cave nigger
celestial
Charlie
charva
charver
chav
chee chee
cheese eating surrender monkey
chi chi
chigger
chili shitter
Chinaman
Chinese wetback
ching chong
chinig
chink
chink a billy
chonky
Christ killer
chug
chunky
clam
clamhead
cocoa
Cocoa Puff
coconut
colored
coloured
conspiracy theorist
coolie
coon
coon ass
cotton picker
cow kisser
cowboy killer
cracker
cripple
crow
cunt
curry muncher
curry slurper
curry stinker
Cushi
Cushite
dago
darkey
darkie
darky
dego
dhimmi
diaper head
dinge
dingo fucker
dink
div
divvy
dogan
dogun
dole bludger
domes
dot head
dune coon
dune nigger
dyke
dyke jumper
egg
eggplant
eh hole
eight ball
eurotrash
eyetie
fag
faggot
Fairy
fez
FOB
fog nigger
four by two
fresh off the boat
frog
fruit
fuzzy
fuzzy wuzzy
gable
gator bait
Gerudo
gew
ghetto
ghetto hamster
ghost
gin
gin jockey
ginger
ginzo
gipp
gippo
golliwog
goober
gook
gook eye
gooky
greaseball
greaser
groid
guala
guala guala
gub
gubba
guido
guinea
gun burglar
gurrier
Gwat
gyp
gypo
gyppie
gyppo
gyppy
hairyback
half breed
halfrican
hayseed
hebe
hebro
heeb
heinie
hick
higger
hillbilly
ho
hoe
honkey
honkie
honky
Honyak
Honyock
hoosier
hoser
house nigger
Hun
Hunkie
Hunky
Hunyak
Hunyock
hymie
ice monkey
ice nigger
idiot
ike
ikey
ikey mo
iky
injun
island nigger
jant
Jap
japie
Jerry
Jewbacca
jhant
jig
jigaboo
jigarooni
jigg
jigga
jiggabo
jiggaboo
jigger
Jihadi
jijjiboo
Jim Fish
jock
jockie
jocky
jungle bunny
Junior Mint
khazar
kike
knacker
kotiya
kraut
Kushi
Kushite
kyke
latrino
lawn jockey
Leb
Lebbo
lefty
lemonhead
leprechaun
limey
ling ling
lowlander
lubra
lugan
mack
mackerel snapper 
mangia cake
Merkin
mick
mickey
Mickey Finn
mil bag
millie
moch
mock
mockey
mockie
mocky
moke
moky
mong
monkey
mook
moon cricket
Moor
moss eater
mosshead
moulie
moulignon
moulinyan
moxy
mud duck
mud person
mud shark
muk
muktuk
mulato
mulignan
mung
munt
munter
mutt
muzzie
nacho
neche
ned
neechee
neejee
negro
net head
newfie
nicca
nichi
nichiwa
nidge
nig
nig nog
nigar
niger
nigette
nigga
niggah
niggar
nigger
nigglet
niggor
niggress
nigguh
niggur
niglet
nigor
nigra
nigre
nip
nitchee
nitchie
nitchy
Northern monkey
ocker
octaroon
octroon
ofay
Orangie
Oreo
Oriental
oven dodger
paddy
paki
paleface
pancake
pancake face
papist
papoose
peckerwood
Pepper
Pepsi
pickaninny
piker
pikey
piky
pineapple nigger
ping pang
pinto
plastic paddy
pogue
pohm
pointy head
polack
pollo
pom
pommie
pommie grant
pommy
popolo
poppadom
porch monkey
powderburn
prairie nigger
prod
proddy dog
proddywhoddy
proddywoddy
property
Punjab
pussy
quadroon
quashie
queen
queer
race traitor
raghead
red bone
redlegs
redneck
redskin
retard
retarded
Rhine monkey
Rico Suave
roofucker
roundeye
rube
Russellite 
sambo
sawney
scag
scallie
scally
scanger
semihole
senga
seppo
septic
shade
shant
shanty Irish
sheeny
sheepfucker
sheister
Shelta
shine
shiner
shit heel
shit kicker
Shy
Shylock
shyster
sideways cooter
sideways pussy
sideways vagina
skag
skanger
skinny
Skip
Skippy
slag
slant
slant eye
slit
slope
slopehead
slopey
slopy
smoke jumper
smoked Irish
smoked Irishman
snout
snowflake
sole
sooty
soup taker 
Southern fairy
spade
spear chucker
sperg
spic
spice nigger
spick
spickaboo
spide
spig
spigger
spigotty
spik
spike
spink
spiv
spook
squarehead
squaw
squinty
steek
stovepipe
stump jumper
sub human
sucker fish
suntan
surrender monkey
Taffy
tan
tar baby
teabagger
teapot
tenker
thicklips
tiger
timber nigger
tincker
tinkar
tinkard
tinker
tinkere
Tommy
touch of the tar brush
towel head
trailer park trash
trailer trash
tranny
trash
tree jumper
tunnel digger
twat
Twinkie
tyncar
tynekere
tynkard
tynkare
tynker
tynkere
uncircumcised baboon
uncivilised
uncivilized
Uncle Tom
Velcro head
wagon burner
WASP
wetback
wexican
whigger
white chocolate
white nigger
white trash
whitey
whore from Fife
WIC
wigga
wigger
wiggerette
wink
wog
wop
Yank
Yankee
yardie
yellow
yellow bone
yid
yob
yobbo
yokel
zebra
zigabo
Zionazi
zip
zipperhead
zippohead
ZOG
ZOG lover
